"","FK_STATION","FK_RANDOM_SAMPLE_LOCATION","FK_SAMPLE","COLLECTION_DATE","SAMPLE_TYPE","MATRIX","MATRIX_VQ","Turbidity_Lab","Turbidity_Lab_VQ","Alkalinity_Total_as_CaCO3","Alkalinity_Total_as_CaCO3_VQ","Total_Dissolved_Solids_TDS_measured","Total_Dissolved_Solids_TDS_measured_VQ","Pheophytin_A_Monochromatic","Pheophytin_A_Monochromatic_VQ","Chlorophyll_A_Uncorrected_Trichromatic","Chlorophyll_A_Uncorrected_Trichromatic_VQ","Calcium_Total","Calcium_Total_VQ","Sodium_Total","Sodium_Total_VQ","Barium_Total","Barium_Total_VQ","Selenium_Total","Selenium_Total_VQ","Copper_Total","Copper_Total_VQ","Lead_Total","Lead_Total_VQ","Magnesium_Total","Magnesium_Total_VQ","pH_Field","pH_Field_VQ","Specific_Conductance_Field","Specific_Conductance_Field_VQ","Oxygen_Dissolved_Field","Oxygen_Dissolved_Field_VQ","Oxygen_Dissolved_Percent_Saturation","Oxygen_Dissolved_Percent_Saturation_VQ","Water_Temperature","Water_Temperature_VQ","Depth_Bottom_of_Waterbody_Sample_Site","Depth_Bottom_of_Waterbody_Sample_Site_VQ","Transparency_Secchi_Depth","Transparency_Secchi_Depth_VQ","Sample_Depth","Sample_Depth_VQ","Water_Sample_Collection_Device","Water_Sample_Collection_Device_VQ","Water_Level","Water_Level_VQ","Stream_Flow_Qualitative","Stream_Flow_Qualitative_VQ","Chlorophyll_A_Monochromatic","Chlorophyll_A_Monochromatic_VQ","Escherichia_Coli_Quanti_Tray","Escherichia_Coli_Quanti_Tray_VQ","Potassium_Total","Potassium_Total_VQ","Antimony_Total","Antimony_Total_VQ","Thallium_Total","Thallium_Total_VQ","Beryllium_Total","Beryllium_Total_VQ","Hardness_calculated_as_CACO3","Hardness_calculated_as_CACO3_VQ","Iron_Total","Iron_Total_VQ","Silver_Total","Silver_Total_VQ","Nickel_Total","Nickel_Total_VQ","Aluminum_Total","Aluminum_Total_VQ","Arsenic_Total","Arsenic_Total_VQ","Chromium_Total","Chromium_Total_VQ","Manganese_Total","Manganese_Total_VQ","Zinc_Total","Zinc_Total_VQ","Cadmium_Total","Cadmium_Total_VQ","Molybdenum_total","Molybdenum_total_VQ","Sulfate_Total","Sulfate_Total_VQ","Phosphorus_Total_as_P","Phosphorus_Total_as_P_VQ","Fluoride_Total","Fluoride_Total_VQ","Total_Suspended_Solids_TSS","Total_Suspended_Solids_TSS_VQ","Kjeldahl_Nitrogen_Total_as_N","Kjeldahl_Nitrogen_Total_as_N_VQ","Ammonia_Total_as_N","Ammonia_Total_as_N_VQ","Organic_Carbon_Total","Organic_Carbon_Total_VQ","Color_true","Color_true_VQ","Specific_Conductance_Lab","Specific_Conductance_Lab_VQ","NitrateNitrite_Total_as_N","NitrateNitrite_Total_as_N_VQ","Chloride_Total","Chloride_Total_VQ","Weather","Weather_VQ","Salinity_ppt","Salinity_ppt_VQ","Orthophosphate_Dissolved_as_P","Orthophosphate_Dissolved_as_P_VQ"
"16",57999,"Z2-SS-14003","Z2SS2007-2",2020-08-19 10:50:00,"PRIMARY","WATER",NA,5.4,NA,63,"A",178,"A",0.95,"I",1.6,"I",29.2,NA,6.8,NA,3.2,"I",0.2,"U",0.42,"I",0.24,"I",7.79,NA,6.94,NA,264,"J",5.05,NA,59.6,NA,23.5,NA,0.5,NA,0.4,NA,0.25,NA,NA,NA,NA,NA,NA,NA,0.98,"I",1013,"AQ",7.3,NA,0.14,"I",0.1,"U",0.01,"U",105,NA,490,NA,0.01,"U",0.5,"U",177,NA,0.98,NA,0.67,"I",38.6,NA,5,"U",0.02,"U",1.66,NA,17,NA,1,NA,0.38,NA,3,"IA",0.72,NA,0.054,NA,9.9,NA,82,NA,262,"A",1.6,NA,22,NA,NA,NA,NA,NA,NA,NA
"17",58000,"Z2-SS-14005","Z2SS2007-1",2020-08-18 11:45:00,"PRIMARY","WATER",NA,6.2,"A",220,NA,277,"A",0.9,"U",1.4,"I",80.3,NA,4.3,NA,12.9,NA,0.2,"U",0.4,"U",0.2,"U",9.17,NA,7.11,NA,450.8,NA,2.51,NA,30.1,NA,24.6,NA,0.2,NA,0.2,"S",0.1,NA,NA,NA,NA,NA,NA,NA,1.5,"I",96,NA,0.3,"U",0.05,"U",0.1,"U",0.01,"U",238,NA,1710,NA,0.01,"U",0.5,"U",21,NA,0.21,NA,0.4,"U",249,NA,5,"U",0.02,"U",0.15,"U",0.28,"I",0.27,NA,0.23,NA,4,"IA",0.65,NA,0.11,NA,12,NA,100,NA,440,NA,0.024,NA,7.9,NA,NA,NA,NA,NA,NA,NA
"18",58001,"Z2-SS-14010","Z2SS2007-3",2020-08-19 11:50:00,"PRIMARY","WATER",NA,6.9,"A",21,NA,113,NA,1.8,"U",4,NA,10.8,NA,4.8,NA,13.7,NA,0.2,"U",1.67,NA,0.9,NA,1.4,NA,6.01,NA,81.5,"J",4.28,NA,51.2,NA,24.3,NA,0.4,NA,0.4,"S",0.2,NA,NA,NA,NA,NA,NA,NA,4.1,"I",2419.6,"JQ",1.6,NA,0.12,"I",0.1,"U",0.026,"I",32.9,NA,800,NA,0.01,"U",0.75,"I",516,NA,1.23,NA,0.85,"I",9.7,NA,12,"I",0.02,"U",0.34,"I",3.5,"A",0.11,NA,0.046,"I",2,"I",1.1,NA,0.008,NA,29,NA,300,NA,81,NA,0.018,NA,7.1,"A",NA,NA,NA,NA,NA,NA
"19",58002,"Z2-SS-14013","Z2SS2007-4",2020-08-25 10:45:00,"PRIMARY","WATER",NA,0.8,NA,136,NA,900,NA,1.8,"U",1.2,"U",64.1,NA,241,NA,10.3,NA,0.2,"U",0.4,"U",0.2,"U",36.1,NA,7.27,NA,1718,NA,5.23,NA,65.6,NA,26,NA,1.8,NA,0.8,NA,0.3,NA,NA,NA,NA,NA,NA,NA,1.6,"U",143.9,NA,9,NA,0.05,"U",0.1,"U",0.01,"U",309,NA,270,NA,0.01,"U",0.5,"U",24,NA,0.78,NA,0.4,"U",28,NA,5,"U",0.02,"U",0.36,"I",66,NA,0.014,NA,0.1,NA,2,"U",0.89,NA,0.024,NA,24,NA,160,NA,1780,NA,0.007,"I",400,NA,NA,NA,NA,NA,NA,NA
"20",58002,"Z2-SS-14013","Z2SS2007-5",2020-08-25 10:50:00,"BOTTOM","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34,NA,21388,NA,4.71,NA,64.8,NA,26,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",58003,"Z2-SS-14015","Z2SS2007-6",2020-08-26 13:00:00,"PRIMARY","WATER",NA,2.3,NA,4.1,NA,104,NA,1.8,"U",1.2,"I",6.62,NA,3.3,NA,8.6,NA,0.2,"U",0.5,"I",0.53,NA,0.92,NA,4.77,NA,53,NA,6.86,NA,84.7,NA,26.1,NA,0.3,NA,0.3,"S",0.15,NA,NA,NA,NA,NA,NA,NA,1.6,"U",727,NA,0.37,"I",0.052,"I",0.1,"U",0.037,"I",20.3,NA,1250,NA,0.01,"U",0.81,"I",555,NA,0.76,NA,1,"I",28.4,NA,14,"I",0.02,"U",0.15,"U",0.3,"I",0.064,NA,0.049,"I",2,"U",1.3,NA,0.01,NA,40,NA,520,NA,49,NA,0.004,"U",5.9,NA,NA,NA,NA,NA,NA,NA
"22",57864,"Z3-SS-14002","Z3SS2007-10",2020-07-30 10:15:00,"PRIMARY","WATER",NA,1.1,NA,5.5,NA,45,NA,2.5,"I",13,NA,3.34,NA,5.9,NA,8.8,NA,0.2,"U",0.76,"I",0.2,"U",1.24,NA,5.76,NA,57.8,NA,1.64,NA,21,NA,28.162,NA,0.5,NA,0.5,"S",0.25,NA,NA,NA,NA,NA,NA,NA,11,NA,5.2,"Q",0.32,"I",0.05,"U",0.1,"U",0.01,"U",13.4,NA,230,NA,0.01,"U",0.5,"U",29,NA,5.99,NA,0.54,"I",15,NA,5,"U",0.02,"U",0.15,"U",1.5,NA,0.02,NA,0.035,"I",2,"I",0.66,NA,0.006,NA,12,NA,59,NA,56,NA,0.004,"U",9.1,NA,1,NA,0.03,NA,NA,NA
"23",57870,"Z3-SS-14005","Z3SS2007-14",2020-08-26 11:35:00,"PRIMARY","WATER",NA,4.6,NA,77,"A",148,"A",1.8,"U",1.2,"U",29.2,NA,9.9,NA,26.7,NA,0.2,"U",0.55,"I",0.2,"U",2.98,NA,6.95,NA,211.1,NA,3.99,NA,50.9,NA,27.8,NA,0.2,NA,0.2,"S",0.1,NA,NA,NA,NA,NA,NA,NA,1.6,"U",160.7,"Q",2.9,NA,0.05,"U",0.1,"U",0.028,"I",85.3,NA,1100,NA,0.01,"U",0.56,"I",51,NA,0.78,NA,0.4,"U",33,NA,5,"U",0.02,"U",0.35,"I",5.5,NA,0.064,NA,0.095,"I",2,"UA",0.42,NA,0.019,NA,11,NA,100,"A",207,NA,0.006,"I",12,NA,1,NA,0.1,NA,NA,NA
"24",57865,"Z3-SS-14015","Z3SS2007-11",2020-07-30 13:02:00,"PRIMARY","WATER",NA,2.7,NA,11,NA,138,NA,0.9,"U",1.3,"I",13,NA,5.2,NA,11.3,NA,0.24,"I",0.43,"I",0.54,NA,1.7,NA,5.97,NA,79.3,NA,3.64,NA,44.6,NA,25.586,NA,0.2,NA,0.1,NA,0.1,NA,NA,NA,NA,NA,NA,NA,1.3,"I",166.4,"Q",0.33,"I",0.05,"U",0.1,"U",0.064,NA,39.5,NA,1770,NA,0.01,"U",1.1,"I",683,NA,0.6,NA,1.9,NA,114,NA,6.3,"I",0.02,"U",0.15,"U",0.25,"I",0.077,NA,0.046,"I",3,"I",2,NA,0.018,NA,68,NA,720,NA,77,NA,0.004,"U",7.8,NA,1,NA,0.04,NA,NA,NA
"25",57866,"Z3-SS-14019","Z3SS2007-13",2020-08-26 10:58:00,"PRIMARY","WATER",NA,2,NA,0.65,"U",128,NA,1.8,"U",1.2,"U",7.13,NA,5,NA,13.8,NA,0.2,"U",0.54,"I",0.9,NA,1.02,NA,4.96,NA,66.7,NA,6.24,NA,77.8,NA,26.636,NA,1.4,NA,0.4,NA,0.29,NA,NA,NA,NA,NA,NA,NA,1.6,"U",143.9,"Q",0.3,"U",0.07,"I",0.1,"U",0.048,NA,22,NA,1140,NA,0.01,"U",0.93,"I",789,NA,0.59,NA,0.83,"I",14.5,NA,5,"U",0.02,"U",0.15,"U",5.6,NA,0.048,NA,0.044,"I",2,"I",0.8,NA,0.009,NA,39,NA,470,NA,65,NA,0.006,"I",7.8,NA,1,NA,0.03,NA,NA,NA
